Timestamp,Steps,Avg_Reward_50,Epsilon,Done_Count
11:25:31,52241,9.2760,0.0551,0
11:25:38,52278,11.2780,0.0551,0
11:25:43,52324,16.6430,0.0551,0
11:25:48,52349,2.1250,0.0551,0
11:25:53,52395,19.3440,0.0550,0
11:25:58,52441,11.9030,0.0550,0
11:26:03,52471,8.5750,0.0550,0
11:26:09,52517,19.9750,0.0550,0
11:26:15,52559,18.9620,0.0550,0
11:26:22,52597,18.0940,0.0549,0
11:26:27,52643,22.0260,0.0549,0
11:26:34,52688,18.0260,0.0549,0
11:26:39,52734,18.7140,0.0549,0
11:26:44,52780,16.9020,0.0548,0
11:26:49,52804,12.3950,0.0548,0
11:26:54,52829,8.9200,0.0548,0
11:26:59,52875,18.1010,0.0548,0
11:27:04,52921,17.1920,0.0548,0
11:27:10,52946,13.0130,0.0548,0
11:27:15,52992,14.0720,0.0547,0
11:27:20,53017,5.7130,0.0547,0
11:27:25,53063,21.3140,0.0547,0
11:27:30,53109,11.5840,0.0547,0
11:27:35,53134,10.3660,0.0547,0
11:27:40,53180,20.9660,0.0547,0
11:27:45,53205,11.8420,0.0546,0
11:27:50,53251,19.0550,0.0546,0
11:27:55,53297,12.3920,0.0546,0
11:28:00,53322,9.3580,0.0546,0
11:28:05,53368,18.4110,0.0546,0
11:28:10,53414,12.9120,0.0546,0
11:28:15,53439,10.0490,0.0545,0
11:28:20,53464,7.6730,0.0545,0
11:28:28,53509,18.4030,0.0545,0
11:28:33,53555,15.9480,0.0545,0
11:28:38,53601,15.0290,0.0545,0
11:28:44,53634,6.8440,0.0545,0
11:28:49,53680,16.5790,0.0544,0
11:28:54,53726,16.2810,0.0544,0
11:28:59,53751,11.8330,0.0544,0
11:29:04,53797,19.9380,0.0544,0
11:29:09,53822,9.1720,0.0544,0
11:29:14,53868,16.3240,0.0543,0
11:29:19,53893,8.3010,0.0543,0
11:29:24,53918,10.0720,0.0543,0
11:29:29,53964,16.7490,0.0543,0
11:29:34,53989,11.9300,0.0543,0
11:29:39,54035,13.5220,0.0543,0
11:29:45,54064,7.6900,0.0543,0
11:29:51,54095,6.3670,0.0543,0
11:29:56,54141,18.6820,0.0542,0
11:30:01,54187,15.9920,0.0542,0
11:30:06,54212,12.0730,0.0542,0
11:30:12,54248,16.0240,0.0542,0
11:30:17,54294,17.3090,0.0542,0
11:30:24,54334,15.9300,0.0542,0
11:30:29,54380,22.2730,0.0541,0
11:30:34,54408,16.4300,0.0541,0
11:30:39,54454,23.0780,0.0541,0
11:30:45,54479,8.3320,0.0541,0
11:30:50,54525,19.3540,0.0541,0
11:30:56,54560,11.1200,0.0541,0
11:31:01,54606,19.1360,0.0540,0
11:31:06,54652,17.0110,0.0540,0
11:31:11,54677,4.1610,0.0540,0
11:31:18,54719,18.2930,0.0540,0
11:31:23,54765,15.3370,0.0540,0
11:31:28,54811,20.9020,0.0540,0
11:31:33,54835,13.0170,0.0539,0
11:31:38,54881,16.8980,0.0539,0
11:31:45,54926,13.6930,0.0539,0
11:31:50,54972,15.6460,0.0539,0
11:31:55,54997,3.3730,0.0539,0
11:32:00,55043,21.4720,0.0539,0
11:32:05,55067,9.2210,0.0539,0
